epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.377,1.76253,2.59674,1.51953,0.5323,0.41791,0.43483,0.25152,1.43957,1.60913,1.32718,0.00036929,0.00036929,0.00036929
2,344.657,1.83067,2.15519,1.58689,0.64264,0.36654,0.41625,0.23614,1.60025,1.66428,1.45066,0.000737618,0.000737618,0.000737618
3,411.752,1.86231,2.12733,1.62106,0.54367,0.42165,0.40902,0.23508,1.59171,1.65743,1.41687,0.00109795,0.00109795,0.00109795
4,479.524,1.8517,2.04934,1.61485,0.58611,0.40259,0.43925,0.25587,1.61344,1.58771,1.43751,0.00108408,0.00108408,0.00108408
5,546.554,1.84456,2.01996,1.60964,0.58779,0.42094,0.43872,0.25305,1.59113,1.5542,1.41149,0.00106345,0.00106345,0.00106345
6,614.566,1.81152,1.95858,1.59144,0.53576,0.46351,0.45815,0.27549,1.50058,1.47145,1.37381,0.00103732,0.00103732,0.00103732
7,675.246,1.7735,1.90082,1.56275,0.73383,0.41686,0.48827,0.29401,1.4949,1.45503,1.37074,0.00100597,0.00100597,0.00100597
8,744.583,1.77197,1.8755,1.56437,0.6427,0.39882,0.45698,0.27721,1.5147,1.55349,1.36925,0.000969744,0.000969744,0.000969744
9,813.206,1.73698,1.82111,1.54007,0.66825,0.43993,0.4966,0.30644,1.46254,1.39001,1.33364,0.00092904,0.00092904,0.00092904
10,871.36,1.73308,1.80932,1.53397,0.70536,0.45689,0.51469,0.32332,1.45538,1.37413,1.32463,0.000884305,0.000884305,0.000884305
11,935.233,1.71969,1.77938,1.52288,0.63023,0.48639,0.52294,0.31772,1.44511,1.33007,1.31992,0.000836028,0.000836028,0.000836028
12,1003.01,1.6964,1.74325,1.5092,0.63561,0.47758,0.51054,0.3175,1.43312,1.40607,1.32059,0.000784738,0.000784738,0.000784738
13,1069.95,1.70282,1.74448,1.50904,0.68598,0.46395,0.52929,0.32555,1.4069,1.30295,1.29854,0.000730997,0.000730997,0.000730997
14,1128.11,1.68314,1.72086,1.5009,0.67318,0.47557,0.52434,0.34627,1.37798,1.28109,1.27968,0.000675395,0.000675395,0.000675395
15,1184.65,1.65357,1.67557,1.47353,0.67262,0.45447,0.53624,0.35018,1.34769,1.24764,1.2598,0.00061854,0.00061854,0.00061854
16,1241.73,1.63979,1.6644,1.46729,0.70472,0.47014,0.53607,0.33728,1.3603,1.28673,1.2581,0.000561055,0.000561055,0.000561055
17,1300,1.63595,1.64196,1.45728,0.67226,0.49341,0.54831,0.35389,1.33956,1.22004,1.24557,0.00050357,0.00050357,0.00050357
18,1367.33,1.6135,1.60328,1.44033,0.75576,0.47414,0.56386,0.36615,1.34652,1.20085,1.24691,0.000446715,0.000446715,0.000446715
19,1429.55,1.59029,1.5904,1.44329,0.67926,0.50604,0.55917,0.36212,1.33405,1.16818,1.23755,0.000391113,0.000391113,0.000391113
20,1487.52,1.59495,1.5758,1.43082,0.72824,0.50095,0.56752,0.37689,1.29873,1.16333,1.22215,0.000337372,0.000337372,0.000337372
21,1545.67,1.47136,1.36933,1.33657,0.70416,0.51312,0.57051,0.38304,1.30094,1.15055,1.2237,0.000286083,0.000286083,0.000286083
22,1609.62,1.45619,1.33217,1.32514,0.69741,0.54183,0.57683,0.38661,1.288,1.15323,1.21572,0.000237805,0.000237805,0.000237805
23,1663.48,1.44862,1.30366,1.3136,0.68676,0.5457,0.58446,0.38878,1.28458,1.10818,1.21125,0.00019307,0.00019307,0.00019307
24,1716.57,1.43333,1.27926,1.30102,0.72731,0.51429,0.59348,0.39251,1.28619,1.10661,1.21078,0.000152366,0.000152366,0.000152366
25,1772.15,1.43103,1.2791,1.31263,0.64458,0.54845,0.59545,0.39698,1.27767,1.08758,1.20216,0.00011614,0.00011614,0.00011614
26,1827.49,1.41612,1.2617,1.30236,0.74135,0.51647,0.6071,0.40443,1.2772,1.0769,1.20264,8.47887e-05,8.47887e-05,8.47887e-05
27,1886.75,1.40012,1.22283,1.28544,0.71767,0.53809,0.60161,0.40385,1.27008,1.08265,1.20107,5.86552e-05,5.86552e-05,5.86552e-05
28,1939.84,1.40389,1.22753,1.28062,0.69856,0.54999,0.60401,0.40373,1.26903,1.07088,1.19869,3.80262e-05,3.80262e-05,3.80262e-05
29,1993.96,1.39987,1.21947,1.28035,0.69058,0.54574,0.6059,0.40361,1.26723,1.06877,1.19611,2.31276e-05,2.31276e-05,2.31276e-05
30,2048,1.39893,1.21754,1.28194,0.68586,0.54224,0.60342,0.40581,1.26552,1.07048,1.1966,1.41227e-05,1.41227e-05,1.41227e-05
